,open,close,high,low,volume,year,month,week,weekday,day,hour,minute,timestamp,y_timestamp,bid,diff_h_v,diff_l_v,y_high_p,y_low_p,y_c_high_p,y_c_low_p,diff_h,diff_l,op,price,take_profit,stop_loss,profit,loss,risk,v1,v2,v3,v4,v5,v6,vf
4862,1.06935,1.06759,1.07356,1.06746,112640.0,2022.0,12.0,50.0,3.0,15.000000000000002,9.0,9.0,2022-12-15 09:09:00-05:00,2022-12-15 10:09:00-05:00,1.06759,2.5215142,11.823641,1.0678421514252294,1.0664076359329373,1.0678421514252294,1.0664076359329373,2.521514252293855,11.823640670627356,v,1.06759,1.0664076359329373,1.0678421514252294,11.823640670627356,-2.521514252293855,4.689103248126094,True,True,True,True,True,True,True
4863,1.07023,1.06659,1.07356,1.06659,112684.0,2022.0,12.0,50.0,3.0,15.000000000000002,9.0,10.0,2022-12-15 09:10:00-05:00,2022-12-15 10:10:00-05:00,1.06659,2.7741077,11.650871,1.066867410756098,1.0654249128980189,1.066867410756098,1.0654249128980189,2.774107560981065,11.650871019810438,v,1.06659,1.0654249128980189,1.066867410756098,11.650871019810438,-2.774107560981065,4.199862753587716,True,True,True,True,True,True,True
4864,1.07045,1.06629,1.07356,1.06576,112977.99999999999,2022.0,12.0,50.0,3.0,15.000000000000002,9.0,11.0,2022-12-15 09:11:00-05:00,2022-12-15 10:11:00-05:00,1.06629,3.6675854,11.095439,1.06665675852607,1.0651804561614617,1.06665675852607,1.0651804561614617,3.6675852607004344,11.095438385382295,v,1.06629,1.0651804561614617,1.06665675852607,11.095438385382295,-3.6675852607004344,3.0252707426529715,True,True,True,True,True,True,True
4865,1.07067,1.06708,1.07356,1.06576,113015.99999999999,2022.0,12.0,50.0,3.0,15.000000000000002,9.0,12.0,2022-12-15 09:12:00-05:00,2022-12-15 10:12:00-05:00,1.06708,4.236827,10.871877,1.0675036826789566,1.0659928123270348,1.0675036826789566,1.0659928123270348,4.236826789565384,10.871876729652286,v,1.06708,1.0659928123270348,1.0675036826789566,10.871876729652286,-4.236826789565384,2.5660422928848425,True,True,True,True,True,True,True
4866,1.07058,1.0665,1.07356,1.06576,112774.0,2022.0,12.0,50.0,3.0,15.000000000000002,9.0,13.0,2022-12-15 09:13:00-05:00,2022-12-15 10:13:00-05:00,1.0665,4.0586753,11.034332,1.066905867525842,1.0653965668017045,1.066905867525842,1.0653965668017045,4.058675258420408,11.034331982955337,v,1.0665,1.0653965668017045,1.066905867525842,11.034331982955337,-4.058675258420408,2.7187028476995665,True,True,True,True,True,True,True
4867,1.07206,1.0665,1.07356,1.06576,112509.0,2022.0,12.0,50.0,3.0,15.000000000000002,9.0,14.0,2022-12-15 09:14:00-05:00,2022-12-15 10:14:00-05:00,1.0665,4.2753015,10.979381,1.0669275301471353,1.0654020619541407,1.0669275301471353,1.0654020619541407,4.275301471352577,10.979380458593369,v,1.0665,1.0654020619541407,1.0669275301471353,10.979380458593369,-4.275301471352577,2.568095029593275,True,True,True,True,True,True,True
4868,1.07086,1.0663200000000002,1.07356,1.06576,112469.0,2022.0,12.0,50.0,3.0,15.000000000000002,9.0,15.0,2022-12-15 09:15:00-05:00,2022-12-15 10:15:00-05:00,1.0663200000000002,4.5316496,10.876207,1.0667731649465209,1.0652323792620377,1.0667731649465209,1.0652323792620377,4.5316494652070105,10.876207379624248,v,1.0663200000000002,1.0652323792620377,1.0667731649465209,10.876207379624248,-4.5316494652070105,2.4000548725424,True,True,True,True,True,True,True
4869,1.07149,1.06575,1.07356,1.0656599999999998,112840.0,2022.0,12.0,50.0,3.0,15.000000000000002,9.0,16.0,2022-12-15 09:16:00-05:00,2022-12-15 10:16:00-05:00,1.06575,4.4586363,11.1120205,1.0661958636103663,1.0646387979416176,1.0661958636103663,1.0646387979416176,4.4586361036635935,11.112020583823323,v,1.06575,1.0646387979416176,1.0661958636103663,11.112020583823323,-4.4586361036635935,2.4922465806735707,True,True,True,True,True,True,True
4870,1.07158,1.06578,1.07356,1.0655999999999999,113013.0,2022.0,12.0,50.0,3.0,15.000000000000002,9.0,17.0,2022-12-15 09:17:00-05:00,2022-12-15 10:17:00-05:00,1.06578,4.8288264,11.04664,1.0662628826349694,1.0646753359425067,1.0662628826349694,1.0646753359425067,4.828826349694282,11.046640574932098,v,1.06578,1.0646753359425067,1.0662628826349694,11.046640574932098,-4.828826349694282,2.2876450248892204,True,True,True,True,True,True,True
4871,1.07224,1.0664500000000001,1.07309,1.0655999999999999,113209.0,2022.0,12.0,50.0,3.0,15.000000000000002,9.0,18.0,2022-12-15 09:18:00-05:00,2022-12-15 10:18:00-05:00,1.0664500000000001,4.909501,11.187572,1.066940950071253,1.0653312428200619,1.066940950071253,1.0653312428200619,4.909500712528825,11.187571799382567,v,1.0664500000000001,1.0653312428200619,1.066940950071253,11.187571799382567,-4.909500712528825,2.2787595836033567,True,True,True,True,True,True,True
4872,1.07253,1.06646,1.07264,1.0655999999999999,113304.99999999999,2022.0,12.0,50.0,3.0,15.000000000000002,9.0,19.0,2022-12-15 09:19:00-05:00,2022-12-15 10:19:00-05:00,1.06646,4.7329893,11.314734,1.066933298918223,1.065328526541628,1.066933298918223,1.065328526541628,4.732989182230085,11.314734583720565,v,1.06646,1.065328526541628,1.066933298918223,11.314734583720565,-4.732989182230085,2.390610700358563,True,True,True,True,True,True,True
4873,1.07169,1.06605,1.0724,1.0655999999999999,113534.0,2022.0,12.0,50.0,3.0,15.000000000000002,9.0,20.0,2022-12-15 09:20:00-05:00,2022-12-15 10:20:00-05:00,1.06605,4.741562,11.321544,1.066524156171549,1.0649178456284105,1.066524156171549,1.0649178456284105,4.741561715491116,11.321543715894222,v,1.06605,1.0649178456284105,1.066524156171549,11.321543715894222,-4.741561715491116,2.3877246348825754,True,True,True,True,True,True,True
4874,1.07206,1.0657,1.0724,1.06535,113793.0,2022.0,12.0,50.0,3.0,15.000000000000002,9.0,21.0,2022-12-15 09:21:00-05:00,2022-12-15 10:21:00-05:00,1.0657,4.7916126,11.43528,1.0661791612445843,1.0645564720842988,1.0661791612445843,1.0645564720842988,4.791612445842475,11.435279157012701,v,1.0657,1.0645564720842988,1.0661791612445843,11.435279157012701,-4.791612445842475,2.3865200464897196,True,True,True,True,True,True,True
4875,1.07178,1.06531,1.07212,1.06531,113842.99999999999,2022.0,12.0,50.0,3.0,15.000000000000002,9.0,22.0,2022-12-15 09:22:00-05:00,2022-12-15 10:22:00-05:00,1.06531,5.1185026,11.434204,1.0658218502303958,1.064166579652056,1.0658218502303958,1.064166579652056,5.118502303957939,11.43420347943902,v,1.06531,1.064166579652056,1.0658218502303958,11.43420347943902,-5.118502303957939,2.2338963236565106,True,True,True,True,True,True,True
